t_monotonic,t_wall,gpu_name,power_W,util_pct,memory_MiB,error
3851.028543552,1777948411.3092241,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3851.256125581,1777948411.5368056,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3851.48393412,1777948411.7646146,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3851.711158331,1777948411.9918385,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3851.939331621,1777948412.2200117,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3852.166905773,1777948412.447586,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3852.394261878,1777948412.6749423,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3852.621710999,1777948412.9023914,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3852.850694662,1777948413.1313748,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3853.078227151,1777948413.3589075,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3853.305036773,1777948413.585717,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3853.534196909,1777948413.8148773,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3853.76294163,1777948414.0436215,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3853.991269144,1777948414.2719493,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3854.219136361,1777948414.4998167,NVIDIA A100-SXM4-40GB,51.47,4.0,30772.0,
3854.446052452,1777948414.7267323,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3854.673071665,1777948414.9537518,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3854.901820199,1777948415.1825004,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3855.131288403,1777948415.4119685,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3855.358379626,1777948415.6390598,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3855.585573402,1777948415.8662536,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3855.812793261,1777948416.0934734,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3856.040151588,1777948416.320832,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3856.269426664,1777948416.5501068,NVIDIA A100-SXM4-40GB,51.42,3.0,30772.0,
3856.497685088,1777948416.7783654,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3856.725656542,1777948417.0063367,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3856.953652423,1777948417.2343326,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3857.180574551,1777948417.4612546,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3857.409009566,1777948417.6896896,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3857.636770379,1777948417.9174507,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3857.86386134,1777948418.1445415,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3858.09096521,1777948418.3716452,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3858.319719411,1777948418.6003993,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3858.547089042,1777948418.827769,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3858.774711559,1777948419.0553923,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3859.00376728,1777948419.2844474,NVIDIA A100-SXM4-40GB,51.2,3.0,30772.0,
3859.231397196,1777948419.5120773,NVIDIA A100-SXM4-40GB,51.15,3.0,30772.0,
3859.458611255,1777948419.7392914,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
3859.687343634,1777948419.9680238,NVIDIA A100-SXM4-40GB,51.2,4.0,30772.0,
3859.914774177,1777948420.1954544,NVIDIA A100-SXM4-40GB,51.15,4.0,30772.0,
3860.142345721,1777948420.4230256,NVIDIA A100-SXM4-40GB,51.42,4.0,30772.0,
3860.371909248,1777948420.6525896,NVIDIA A100-SXM4-40GB,51.47,3.0,30772.0,
